Repos,TypeScript,C++,Svelte,JavaScript,Dart,C,Python,Vue,HTML,SCSS,CSS,CMake,Shell,Swift,Makefile,Batchfile,Dogescript,Kotlin,Rust,Objective-C,Total,
Advent-Of-Code-2021,0,16572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16572,
anime-captcha,4525,0,16290,210,0,0,0,0,1148,0,589,0,0,0,0,0,0,0,0,0,22762,
auto-publish-release,0,0,0,4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4779,
Battleship-SIMP,5890,0,0,5106,0,0,0,18371,588,1383,0,0,0,0,0,0,0,0,0,0,31338,
cocoa-discord-utils,45060,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45766,
cocoa-grader,21589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21589,
daily_salim_quote,0,0,0,0,9348,0,0,0,3713,0,0,0,0,404,0,0,0,136,0,38,13639,
Data-Structure,0,9575,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,9870,
Discord-Polynomial-Master,0,0,0,12726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12726,
dotfiles,0,0,0,0,0,0,0,0,0,0,0,0,2584,0,0,0,0,0,0,0,2584,
Game-That-Has-Snake,0,0,0,0,0,0,6819,0,0,0,0,0,0,0,0,0,0,0,0,0,6819,
Language-Stats,0,0,0,2966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2966,
Leomotors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Memers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,353,
MIND-Is-Not-Difficult,210,0,5456,1098,0,0,0,0,527,0,808,0,0,0,0,0,0,0,0,0,8099,
Mini-Vector-Calculator,0,0,0,0,0,34951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34951,
My-ASCII-Adventure,0,0,0,0,0,0,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,3638,
my-npm-automation,0,0,0,1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629,
my-repos,5404,0,0,1234,0,0,0,8930,620,0,0,0,0,0,0,0,0,0,0,0,16188,
NSM2021-SmartWheelChair-Arduino,0,10614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10614,
NSM2021-SmartWheelChair-MobileApp,0,0,0,0,31951,0,0,0,3745,0,0,0,0,404,0,0,0,154,0,38,36292,
online-school-reminder,8311,0,0,1493,0,0,0,0,255,2042,0,0,0,0,0,0,0,0,0,0,12101,
polynomial-generator,17854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17854,
Polynomial-Problems-Generator,0,33793,0,0,0,0,0,0,0,0,0,0,151,0,682,0,0,0,0,0,34626,
portfolio-sv,1692,0,25202,4917,0,0,0,0,1073,0,1259,0,0,0,0,0,0,0,0,0,34143,
Random-Zoom-PFP,0,0,0,0,0,0,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,2365,
RTX-2090-TiFy,0,38496,0,0,0,0,0,0,0,0,0,2011,0,0,0,618,0,0,0,0,41125,
s-bot-framework,43761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43761,
Salim-Bot,0,0,0,8672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8672,
salim-quote-delivery,3856,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5286,
Simple-RLC-Calculator,0,0,0,0,0,0,20196,0,0,0,0,0,0,0,0,0,0,0,0,0,20196,
simple-todo-app-tauri,322,0,1264,889,0,0,0,0,351,0,114,0,0,0,0,0,0,0,285,0,3225,
Steganoplusplus,0,3191,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,4041,
stupid-problems,0,0,0,962,0,0,0,0,1197,0,1037,0,0,0,0,0,0,0,0,0,3196,
Terminal-Video-Player,0,8611,0,0,0,3128,0,0,0,0,0,1905,0,0,0,0,0,0,0,0,13644,
THIS-REPO-HAS-9-ISSUES,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,
TOI17-Journey,0,4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4747,
Wave-Interference-Simulation,0,0,0,0,0,0,4847,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,
Website-Vector-Calculator,10299,0,0,0,0,0,0,0,2797,0,593,0,0,0,0,0,0,0,0,0,13689,
Website-Vector-Calculator-2,4039,0,8159,3253,0,0,0,0,406,3240,1020,0,0,0,0,0,0,0,0,0,20117,
Total,172812,125599,56371,53000,41299,38079,37865,27301,16420,6665,5420,4766,3030,808,682,618,353,290,285,76,591739,
Percentage,29.20,21.23,9.53,8.96,6.98,6.44,6.40,4.61,2.77,1.13,0.92,0.81,0.51,0.14,0.12,0.10,0.06,0.05,0.05,0.01,100.00,
